rgb,fctr
0,0
1,0.051229066
2,0.102458132
3,0.153687198
4,0.204916264
5,0.25614533
6,0.307374397
7,0.358603463
8,0.409832529
9,0.461061595
10,0.512290661
11,0.563519727
12,0.614748793
13,0.665977859
14,0.717206925
15,0.768435991
16,0.819665057
17,0.870894124
18,0.92212319
19,0.929848219
20,0.937573248
21,0.945298277
22,0.953023306
23,0.960748335
24,0.968473364
25,0.976198393
26,0.983923422
27,0.991648451
28,0.99937348
29,1.007098509
30,1.014823538
31,1.022548567
32,1.030273597
33,1.037998626
34,1.045723655
35,1.053448684
36,1.061173713
37,1.068898742
38,1.076623771
39,1.0843488
40,1.092073829
41,1.099798858
42,1.107523887
43,1.115248916
44,1.122973945
45,1.130698974
46,1.138424003
47,1.146149033
48,1.153874062
49,1.161599091
50,1.16932412
51,1.169629114
52,1.169932069
53,1.17023143
54,1.170525645
55,1.170813161
56,1.171092425
57,1.171361884
58,1.171619986
59,1.171865176
60,1.172095903
61,1.172310614
62,1.172507755
63,1.116993445
64,1.117122126
65,1.117228158
66,1.117310063
67,1.117366361
68,1.117395574
69,1.117396222
70,0.948683764
71,0.942425666
72,0.936167568
73,0.92990947
74,0.923651372
75,0.917393274
76,0.911135176
77,0.904877078
78,0.89861898
79,0.892360882
80,0.886102784
81,0.879844686
82,0.873586588
83,0.86732849
84,0.861070392
85,0.854812294
86,0.848554196
87,0.842296098
88,0.836037999
89,0.829779901
90,0.823521803
91,0.817263705
92,0.811005607
93,0.804747509
94,0.798489411
95,0.792231313
96,0.785973215
97,0.779715117
98,0.773457019
99,0.767198921
100,0.760940823
101,0.754682725
102,0.748424627
103,0.742166529
104,0.735908431
105,0.729650333
106,0.723392235
107,0.717134136
108,0.710876038
109,0.70461794
110,0.698359842
111,0.692101744
112,0.685843646
113,0.679585548
114,0.67332745
115,0.667069352
116,0.660811254
117,0.654553156
118,0.648295058
119,0.64203696
120,0.635778862
121,0.629520764
122,0.623262666
123,0.617004568
124,0.61074647
125,0.604488371
126,0.601486059
127,0.598483746
128,0.595481433
129,0.59247912
130,0.589476807
131,0.586474494
132,0.583472181
133,0.580469868
134,0.577467555
135,0.574465242
136,0.571462929
137,0.568460616
138,0.565458303
139,0.56245599
140,0.559453677
141,0.556451364
142,0.553449051
143,0.550446738
144,0.547444425
145,0.544442112
146,0.541439799
147,0.538437486
148,0.535435173
149,0.53243286
150,0.529430547
151,0.526428234
152,0.523425921
153,0.520423608
154,0.517421295
155,0.514418982
156,0.511416669
157,0.508414356
158,0.505412043
159,0.50240973
160,0.499407417
161,0.496405104
162,0.493402791
163,0.490400478
164,0.487398165
165,0.484395852
166,0.481393539
167,0.478391226
168,0.475388913
169,0.4723866
170,0.469384287
171,0.466381974
172,0.463379661
173,0.460377348
174,0.399486472
175,0.39455454
176,0.389622609
177,0.384690677
178,0.379758745
179,0.374826813
180,0.369894882
181,0.36496295
182,0.360031018
183,0.355099086
184,0.350167155
185,0.345235223
186,0.340303291
187,0.335371359
188,0.330439427
189,0.325507496
190,0.320575564
191,0.315643632
192,0.3107117
193,0.305779769
194,0.300847837
195,0.295915905
196,0.290983973
197,0.286052042
198,0.28112011
199,0.276188178
200,0.271256246
201,0.266324315
202,0.261392383
203,0.256460451
204,0.251528519
205,0.246596588
206,0.241664656
207,0.236732724
208,0.231800792
209,0.226868861
210,0.221936929
211,0.217004997
212,0.212073065
213,0.207141134
214,0.202209202
215,0.19727727
216,0.192345338
217,0.187413407
218,0.182481475
219,0.177549543
220,0.172617611
221,0.16768568
222,0.162753748
223,0.157821816
224,0.152889884
225,0.147957953
226,0.143026021
227,0.138094089
228,0.133162157
229,0.128230226
230,0.123298294
231,0.118366362
232,0.11343443
233,0.108502499
234,0.103570567
235,0.098638635
236,0.093706703
237,0.088774772
238,0.08384284
239,0.078910908
240,0.073978976
241,0.069047045
242,0.064115113
243,0.059183181
244,0.054251249
245,0.049319318
246,0.044387386
247,0.039455454
248,0.034523522
249,0.029591591
250,0.024659659
251,0.019727727
252,0.014795795
253,0.009863864
254,0.004931932
255,0
66.9246,-0.042875116
66.9667,-0.094712745
66.969,-0.042627186
66.9926,-0.028964393
67.0005,-0.044095193
67.0108,-0.030145887
67.0303,-0.09222844
67.031,-0.044394385
67.0736,-0.031279073
67.1736,-0.096079412
67.3659,-0.101307932
67.5856,-0.105401151
67.6692,-0.052622168
67.7362,-0.108893029
67.7513,-0.05305876
67.9,-0.054879234
67.9828,-0.113965591
68.1813,-0.118796503
68.2121,-0.057998508
68.3246,-0.051498289
68.3531,-0.052756934
68.3541,-0.122880705
68.4208,-0.117961205
68.4221,-0.056569442
68.4723,-0.060528126
68.592,-0.122238745
68.6349,-0.060613478
68.719,-0.064445059
68.7533,-0.126450658
68.7551,-0.123836632
68.7662,-0.121700777
68.7685,-0.12072824
68.7936,-0.063367813
68.8405,-0.12739739
68.8454,-0.120804004
68.8505,-0.069799057
68.8908,-0.067910374
68.908,-0.065046148
68.9392,-0.114766345
68.9464,-0.115378033
68.9638,-0.066369603
68.9638,-0.116619154
68.9933,-0.071119949
69.0518,-0.11764067
69.1313,-0.118533862
69.321,-0.114194833
69.3213,-0.113963529
69.3772,-0.123268163
69.3897,-0.114924838
69.489,-0.116126293
69.5687,-0.07759524
69.6018,-0.078645955
69.6105,-0.129151493
69.6631,-0.080132811
69.7323,-0.120931046
69.812,-0.134409557
69.8521,-0.08293523
69.9869,-0.086530479
70.2118,-0.131113289
70.2751,-0.091470521
70.4774,-0.096569964
70.5944,-0.099522058
70.7064,-0.14289937
71.0267,-0.150467359
71.0905,-0.114541324
71.1087,-0.114981711
71.1803,-0.116488691
71.3038,-0.118920731
71.3095,-0.154369334
71.3944,-0.155297895
71.4295,-0.14232075
71.4846,-0.137763938
71.4908,-0.122849374
71.5162,-0.149417894
71.5272,-0.154509054
71.7092,-0.13992068
71.7864,-0.128479768
71.8618,-0.143099672
71.9792,-0.133467724
72.0818,-0.151038126
72.1359,-0.137017768
72.201,-0.151033919
72.239,-0.127611124
72.2554,-0.131871113
72.3728,-0.136368912
72.408,-0.153338029
72.4508,-0.127576231
72.6195,-0.154381399
72.6908,-0.153262861
72.6977,-0.144587793
72.7079,-0.147435148
72.7197,-0.150770699
72.8269,-0.132757264
72.8315,-0.145007311
72.9359,-0.147648826
73.1031,-0.152253461
73.3413,-0.140842881
73.4336,-0.159341228
73.6969,-0.165403158
73.8013,-0.148551584
74.0256,-0.171837851
74.1346,-0.155310746
74.2064,-0.175835238
74.2749,-0.177893205
74.4513,-0.173542974
74.4715,-0.173099776
74.5669,-0.175885011
74.5913,-0.174127546
74.5931,-0.165386611
74.6492,-0.178303317
74.7223,-0.166341239
74.7962,-0.177505007
74.8687,-0.166590311
74.9572,-0.180180156
75.0582,-0.182596971
75.1382,-0.167543274
75.181,-0.103655179
75.1921,-0.103385861
75.2523,-0.107362831
75.3892,-0.169711311
75.3921,-0.108220888
75.4046,-0.1157131
75.4267,-0.107737711
75.4392,-0.10544518
75.4436,-0.185759958
75.4482,-0.184081264
75.4595,-0.185037007
75.4679,-0.099854375
75.4854,-0.096210658
75.5362,-0.122362523
75.5431,-0.09110296
75.5636,-0.088657766
75.5749,-0.182591045
75.5785,-0.087661173
75.5831,-0.182874214
75.7015,-0.18103208
75.702,-0.179645188
75.7054,-0.178653042
75.7228,-0.155592503
75.7231,-0.156168989
75.7344,-0.131250792
75.7526,-0.15985986
75.7605,-0.173111318
75.8144,-0.167274291
75.8595,-0.171734588
75.8649,-0.135888929
75.8831,-0.181953558
75.9172,-0.179071409
75.9192,-0.181271668
75.9269,-0.138280372
75.9272,-0.137486961
75.9603,-0.095505152
75.9618,-0.139019876
75.9977,-0.154446779
76.0074,-0.164505035
76.0079,-0.163388279
76.0192,-0.143432186
76.0233,-0.160392932
76.062,-0.096609345
76.0669,-0.150292703
76.0964,-0.177075394
76.2056,-0.097323556
76.3677,-0.179494734
76.4174,-0.095719038
76.5059,-0.095154753
76.5108,-0.181139133
76.579,-0.180018021
76.6856,-0.093374767
76.7326,-0.180191991
76.7903,-0.093313869
76.8413,-0.092874535
76.9179,-0.17994381
77.0054,-0.179397808
77.2113,-0.178826156
77.3426,-0.104315086
77.349,-0.102349093
77.379,-0.101254862
77.4572,-0.180537122
77.5436,-0.100478956
77.6392,-0.098783862
77.6672,-0.089886078
77.7056,-0.092774523
77.7295,-0.18382982
77.7474,-0.09669005
77.7777,-0.087514802
77.8208,-0.091720979
77.8505,-0.083650073
77.8887,-0.094882826
77.9162,-0.081459311
78.0487,-0.079765582
78.1551,-0.079040267
78.1859,-0.189699166
78.2823,-0.079097063
78.479,-0.194594732
78.7438,-0.086928749
78.9167,-0.199988089
78.9249,-0.087964635
79.1887,-0.090730117
79.4456,-0.202533558
79.5244,-0.094093134
79.5821,-0.191149769
79.6208,-0.192689599
79.6882,-0.190582796
79.7344,-0.194575992
79.8054,-0.202230676
79.8067,-0.096261341
79.8503,-0.198148285
79.8833,-0.189967115
79.8887,-0.088399235
79.9482,-0.094642531
79.9544,-0.091425863
80.1244,-0.091854666
80.1364,-0.18982385
80.1485,-0.091677324
80.319,-0.092519827
80.3203,-0.18913276
80.5851,-0.094243229
80.5977,-0.187566146
80.8669,-0.187006056
80.9159,-0.097333157
81.0962,-0.187789317
81.1187,-0.185671121
81.1446,-0.185902697
81.2474,-0.185912411
81.3208,-0.099064446
81.5064,-0.185776822
81.679,-0.101678522
81.7874,-0.183909746
81.9015,-0.103524355
82.1038,-0.182201067
82.1559,-0.150198586
82.2767,-0.085042302
82.3126,-0.087307411
82.3518,-0.180404071
82.3713,-0.152482722
82.3823,-0.091240473
82.3979,-0.151523279
82.4018,-0.155465051
82.4179,-0.149681077
82.4338,-0.095301927
82.4356,-0.161735949
82.4849,-0.08484462
82.4874,-0.179672289
82.4967,-0.17380574
82.5233,-0.100497678
82.5397,-0.084359405
82.5549,-0.173033945
82.5774,-0.167333919
82.6021,-0.105030017
82.6044,-0.171264485
82.6374,-0.108659033
82.66,-0.107638519
82.7003,-0.084187119
82.7626,-0.153641862
82.9133,-0.083356952
82.9197,-0.069488915
83.0195,-0.072890104
83.0279,-0.081634005
83.0941,-0.07766135
83.1692,-0.153478692
83.4169,-0.072274323
83.4249,-0.070803801
83.5446,-0.15362094
83.591,-0.069651039
83.9226,-0.068821748
83.9669,-0.153917794
84.3064,-0.069797785
84.3479,-0.153230845
84.5641,-0.151600975
84.6433,-0.069330945
84.6877,-0.151109311
84.8395,-0.149692066
84.8779,-0.068493683
84.9556,-0.068075559
84.9785,-0.058797225
84.9897,-0.150144076
85.0272,-0.055488126
85.109,-0.062401156
85.1331,-0.052343918
85.1367,-0.15019962
85.1908,-0.147804693
85.2108,-0.064902571
85.2851,-0.065573002
85.3133,-0.050567731
85.3321,-0.144065363
85.3487,-0.137386978
85.4092,-0.049770985
85.469,-0.141806971
85.5618,-0.136137856
85.6649,-0.14056749
85.7269,0.298182951
85.8574,-0.039373426
85.8756,-0.042594171
85.8815,-0.135287576
85.9144,-0.045793255
85.9608,-0.035451043
85.9862,-0.049640524
86.0469,-0.031287589
86.0564,-0.053061713
86.0662,-0.028903333
86.1526,-0.023901774
86.1962,-0.025800441
86.2267,-0.135135637
86.2344,-0.020603147
86.2546,-0.026392795
86.4056,-0.017325266
86.4179,-0.134188635
86.5744,-0.132884548
86.68,-0.131922012
86.6897,-0.016834757
86.7428,-0.131863394
86.94,-0.12947205
86.9428,-0.017435601
86.9938,-0.127238953
87.099,-0.125465275
87.1554,-0.018383256
87.2977,-0.124231223
87.5136,0.27162064
87.5597,-0.122329108
87.7882,-0.110157174
87.7892,-0.01588692
87.7903,-0.018737833
87.8082,-0.018025651
87.8203,-0.01310517
87.8931,-0.01085637
87.9264,-0.121015986
87.9292,-0.00458437
87.9444,-0.007978905
87.9505,-0.110543999
87.9523,-0.006103308
88.2577,-0.120639899
88.3133,-0.110966298
88.3482,-0.00626272
88.3623,-0.001960112
88.3623,-0.005096065
88.3992,0.001624449
88.4133,-0.12031674
88.4279,0.002997923
88.5044,0.004574914
88.5972,0.006643551
88.6677,0.007727729
88.6738,-0.10889124
88.8308,-0.106254813
88.9426,-0.104894617
89.0944,-0.105325363
89.2515,-0.105599346
89.4351,0.00310169
89.5323,0.004171679
89.6413,-0.104235436
89.7069,0.005514626
89.7403,0.018835462
89.8777,0.017352469
89.8844,-0.104878043
89.9023,0.008283437
89.9574,0.018407602
89.9933,0.018832513
90.0067,0.015349968
90.0315,0.01127161
90.0413,0.235367548
90.131,0.019613673
90.1931,-0.105173234
90.3005,0.022192568
90.441,-0.103442023
90.4441,0.024177365
90.5228,0.027411879
90.5349,0.029930999
90.5954,0.030627383
90.6205,-0.101858851
90.8977,-0.100593304
91.2528,-0.100159118
91.2587,0.026967292
91.3549,0.027794897
91.47,0.028508801
91.5105,0.060433502
91.5872,-0.100759713
91.6138,0.058771713
91.6364,0.029788381
91.7897,0.030683181
91.8172,0.038928436
91.8264,0.054501755
91.8277,-0.101301677
91.882,0.036699245
91.8851,0.033482034
91.9444,0.05606323
91.9885,0.049267028
92.0644,0.037926712
92.0808,0.044946395
92.0992,0.0394922
92.1044,-0.102587933
92.1156,0.20691175
92.1205,0.04152713
92.1956,0.055326935
92.3395,0.055870998
92.3769,-0.102426039
92.4241,0.058411172
92.4349,0.068219904
92.5087,0.060304598
92.5133,-0.100598509
92.5559,0.065513922
92.5618,-0.097749828
92.59,0.062689275
92.6256,0.074129614
92.649,0.066958089
92.65,0.070730707
92.6503,-0.095511833
92.6769,0.076280065
92.681,0.068075442
92.7697,0.077952176
92.8405,0.07960319
92.8459,-0.095021967
92.9228,0.079400319
93.0054,-0.09486976
93.1195,-0.095178776
93.1538,0.192271276
93.3097,0.076674772
93.3128,-0.095272031
93.3274,0.077500284
93.412,0.077995333
93.4397,0.185093702
93.4795,0.185429961
93.4892,0.186817301
93.5246,-0.094377308
93.588,0.180266701
93.6036,-0.086794739
93.6133,-0.082865362
93.6138,-0.090723804
93.6159,0.077657748
93.6515,-0.079699738
93.6828,-0.080426717
93.7582,-0.079898078
93.7608,0.176321021
93.8787,-0.080237583
93.891,0.076749635
94.1069,-0.080111023
94.1508,0.076099194
94.1626,0.089567408
94.1713,0.167852626
94.24,0.090443548
94.2882,0.086140153
94.3315,-0.078379969
94.3431,0.075722549
94.3597,0.089815885
94.4131,0.075986277
94.4644,0.082289201
94.5308,-0.077331409
94.6441,0.075996285
94.6572,0.076479127
94.6659,0.078076689
94.6782,0.158219104
94.7974,-0.076470452
94.9346,0.146380772
94.9541,-0.075287955
94.9705,0.086882769
94.9751,0.151137509
94.9882,-0.074226062
94.9903,0.085343451
95.0069,-0.076454447
95.0087,0.084104929
95.0718,0.143878626
95.0838,0.146629605
95.1021,-0.072992079
95.1054,0.086997163
95.1177,-0.076212945
95.1315,0.100043624
95.1585,0.096922503
95.1985,0.142470732
95.2505,0.140658579
95.2569,0.086952231
95.2705,0.090353257
95.291,0.138723489
95.3085,0.089100133
95.3369,-0.071928078
95.338,0.100969183
95.3433,0.092531935
95.3674,0.087173395
95.4349,0.090204946
95.6128,0.131976053
95.6138,-0.071238671
95.6859,0.100332442
95.771,0.103890531
95.7908,0.10218831
95.9,0.125335766
95.9377,-0.071358809
96.1318,0.109512149
96.1456,0.119078772
96.2064,0.111402152
96.2205,0.105257196
96.2377,0.114906113
96.2628,-0.072047561
96.31,0.112201225
96.3177,0.113037375
96.319,0.098215305
96.3626,0.112012337
96.3926,0.100494229
96.42,0.097829289
96.5259,-0.073504624
96.76,-0.074319967
97.0736,-0.076667601
97.2777,-0.063818326
97.2962,-0.062686929
97.3508,-0.066677418
97.3685,-0.077109127
97.4574,-0.071197262
97.4626,-0.065094713
97.5172,-0.074866793
97.632,-0.065515405
98.0205,-0.067357339
98.5895,-0.069796479
98.9256,-0.07011633
99.0662,-0.063063891
99.0895,-0.060558384
99.1069,-0.054182908
99.1279,-0.069053213
99.1367,-0.057781831
99.1438,-0.050557877
99.1631,-0.065872285
99.2387,-0.049607663
99.3277,-0.06831025
99.4036,-0.067391925
99.4436,-0.049003656
99.4441,-0.049754586
99.6972,-0.050145842
99.9915,-0.051279359
100.2144,-0.050650406
100.3385,-0.049257264
100.3787,-0.046835633
100.4644,-0.045503681
100.5826,-0.046099425
101.0405,-0.05153577
101.2705,-0.052740927
101.5223,-0.05245547
101.7256,-0.051018623
101.979,-0.049952441
102.3185,-0.050245068
102.6726,-0.051317489
102.8823,-0.052330673
102.8926,-0.051859901
102.9318,-0.05166042
102.9941,-0.050290259
103.1021,-0.048525685
103.1792,-0.046211833
103.372,-0.044839028
103.5459,-0.044609202
103.7613,-0.045523716
103.7797,-0.048185724
103.8113,-0.045326472
103.8279,-0.047670231
103.8385,-0.041648329
103.9636,-0.039670615
104.2323,-0.038523567
104.5049,-0.038195338
104.6587,-0.03845643
104.8523,-0.038874684
105.0003,-0.039021793
105.2359,-0.039471321
105.4721,-0.038604522
105.6241,-0.037299253
105.769,-0.035314695
105.8669,-0.034494256
105.8864,-0.036129286
105.9018,-0.034256264
105.9305,-0.032982002
106.0277,-0.034004322
106.1279,-0.031646721
106.4241,-0.031132986
106.8321,-0.03185653
107.1851,-0.033121208
107.3303,-0.018223186
107.359,-0.017243082
107.3897,-0.033719249
107.421,-0.015473697
107.4995,-0.012812153
107.5269,-0.035695254
107.5697,-0.01057268
107.5733,-0.03453924
107.6267,-0.026245346
107.6297,-0.032502181
107.6472,-0.023097675
107.6592,-0.029513502
107.6846,-0.021035506
107.7033,-0.020282573
107.8456,-0.009686997
108.1664,-0.010066897
108.3926,-0.010748889
108.8569,-0.016303973
109.0638,-0.016959798
109.3169,-0.016698242
109.4995,-0.015064909
109.5944,-0.012499726
109.759,-0.010823714
109.9328,-0.010171669
110.0746,-0.010690023
110.161,0.199685914
110.2933,-0.013594661
110.4328,-0.013531306
110.6905,-0.013439274
111.0767,-0.013541094
111.4144,-0.012957032
111.7431,-0.012833007
112.0341,-0.012788963
112.21,-0.013108457
112.3256,0.177023759
112.3526,-0.016030782
112.4133,-0.015514178
112.4351,-0.007815175
112.4503,-0.010776316
112.4531,-0.013731947
112.5397,-0.00561935
112.6292,-0.001267877
112.7054,-0.00117918
112.7169,-0.004828025
112.8418,-0.00478103
112.9221,-0.001246877
113.1774,-0.001148639
113.3208,2.65E-05
113.5544,0.000747659
113.6721,0.00139964
113.7621,0.001379194
113.9003,0.00076646
114,0.000427193
114.1805,-0.000322297
114.3238,-3.59E-05
114.3933,0.000774521
114.5413,0.001116628
114.5546,0.003242995
114.571,0.003435424
114.5838,0.004825289
114.7079,0.000628553
114.7108,0.006369932
114.802,0.007465027
114.8908,-0.000591866
115.0156,0.008144113
115.1854,0.008264068
115.3005,0.008355558
115.302,0.007982515
115.3667,0.008125395
115.4951,0.008148398
115.5354,0.144817952
115.5503,0.009269556
115.609,0.010036416
115.6826,0.011042283
115.7305,0.024531995
115.7308,0.024504281
115.7828,0.011385111
115.7972,0.024349466
115.879,0.013861873
115.8838,0.014210787
115.8897,0.013594823
115.8992,0.010711894
115.9218,0.03086391
115.9503,0.014635581
115.9679,0.02095235
115.9721,0.030339194
115.9992,0.023548438
116,0.014851724
116.0067,0.0297388
116.031,0.015739759
116.0415,0.020394428
116.0467,0.015574764
116.0644,0.015231199
116.0669,0.029695805
116.1087,0.02863782
116.1144,0.023141833
116.131,0.019866358
116.1551,0.02021349
116.1669,0.01991359
116.1733,0.027805012
116.1754,0.019657346
116.1808,0.019493755
116.2059,0.019830318
116.2121,0.028406681
116.3251,0.022464627
116.3503,0.027202336
116.38,0.029924386
116.3923,0.022102837
116.4762,0.021662795
116.4944,0.02904689
116.6069,0.023697568
116.6428,0.028072028
116.6656,0.023184212
116.6662,0.023045235
116.7015,0.022884882
116.7197,0.022668838
116.7249,0.022715804
116.7349,0.022618771
116.7718,0.027925407
116.7762,0.02223227
116.8633,0.027829952
116.9897,0.027919552
117.0413,0.028297703
117.0851,0.028062495
117.1515,0.028040614
117.1528,0.027243054
117.2526,0.027911535
117.2662,0.026249678
117.3018,0.027967175
117.3536,0.028090318
117.3808,0.028232897
117.3895,0.032353831
117.4721,0.027632944
117.4944,0.031695128
117.6505,0.030853248
117.8438,0.036290412
117.8823,0.02964143
117.8995,0.036298712
118.0021,0.029477442
118.0782,0.035610299
118.1303,0.029279533
118.2344,0.029295197
118.2495,0.029546848
118.2944,0.034645765
118.5131,0.033897519
118.5338,0.115994763
118.7736,0.032771592
119.0215,0.031573287
119.0579,0.034147251
119.1346,0.031097599
119.1903,0.033350029
119.338,0.033036418
119.4662,0.032836903
119.5249,0.033266708
119.6864,0.03281743
119.8408,0.032095914
119.912,0.033600474
119.9703,0.031191053
120.049,0.033136469
120.2677,0.032378602
120.4203,0.032629881
120.5326,0.033307172
120.58,0.097312158
120.6426,0.037189185
120.6777,0.033480917
120.7874,0.033812302
120.8262,0.034025733
120.8782,0.035605262
121.1426,0.034002077
121.1644,0.038953686
121.3054,0.038270349
121.3849,0.032734714
121.3951,0.033311064
121.4385,0.033572549
121.4867,0.033792176
121.5318,0.033708873
121.5787,0.036667607
121.6546,0.087916939
121.8549,0.035410968
122.1123,0.034198848
122.1246,0.083981442
122.3628,0.081885181
122.4441,0.03253403
122.7408,0.042849647
122.7618,0.030617831
122.9487,0.041419714
123.0192,0.029001164
123.111,0.03033685
123.239,0.03579711
123.2779,0.036726777
123.3062,0.037173313
123.3185,0.029261627
123.3392,0.033515703
123.3803,0.038301901
123.5051,0.03058902
123.51,0.028989556
123.5992,0.062921928
123.6595,0.062309002
123.7928,0.061020512
123.8805,0.034617232
124.1256,0.058011401
124.2108,0.032382047
124.4172,0.055350064
124.4818,0.03066633
124.4928,0.054421621
124.5162,0.053999399
124.5513,0.054305334
124.5618,0.053902561
124.5851,0.053663721
124.5877,0.037060641
124.6244,0.053613097
124.6423,0.029789245
124.6444,0.043997965
124.711,0.052048336
124.7546,0.029247819
124.7615,0.052474521
124.772,0.035632995
124.7949,0.043923269
124.85,0.042736083
124.8551,0.043890077
124.9018,0.039878529
124.9023,0.041923167
124.9149,0.050134932
124.9415,0.034154384
124.9495,0.042141825
124.9536,0.043349691
124.9662,0.03409642
124.9956,0.041675867
124.9992,0.033657015
125.0041,0.040648267
125.0095,0.033715038
125.0251,0.041215724
125.0267,0.039122843
125.0469,0.048916047
125.0749,0.039298852
125.0833,0.040718465
125.1413,0.048150371
125.1741,0.040351798
125.2067,0.040029008
125.2082,0.032031448
125.2897,0.039007197
125.3751,0.038445433
125.3874,0.038987171
125.4085,0.030485174
125.5041,0.037613114
125.6403,0.036399945
125.6897,0.037046791
125.7915,0.042998931
125.8274,0.042412066
125.9059,0.041596939
125.9482,0.039588497
125.9831,0.034843562
126.0828,0.040033216
126.1377,0.033530023
126.1695,0.038088445
126.3054,0.037938995
126.3408,0.037174848
